"date","size","rows","pccomponentes.com","clickelectrodomesticos.com","worten.es","mediamarkt.es","electrocosto.com","fnac.es","andorrafreemarket.com","phonehouse.es","amazon.es","opirata.com","puntronic.com","funnatic.es","carrefour.es","mielectro.es","game.es","elcorteingles.es","storececotec.com","baseus","5ca6193a7ebcf5231c2805d1","peter sellers (actor), piers haggard (director) clasificado","null"
"16/1/2021","165.84",374394,54104,1199,0,4943,3688,37923,1176,44422,136363,8364,2570,1189,35504,689,2372,39745,143,0,0,0,0
"15/1/2021","165.04",372922,53578,1198,0,5159,3666,35005,1212,44009,135357,8492,2581,1183,35487,690,2330,42826,149,0,0,0,0
"14/1/2021","170.20",384544,46922,921,0,4884,3295,67666,1081,41951,130253,8115,2237,974,31126,485,2252,42241,141,0,0,0,0
"13/1/2021","170.20",384544,46922,921,0,4884,3295,67666,1081,41951,130253,8115,2237,974,31126,485,2252,42241,141,0,0,0,0
"12/1/2021","162.07",366765,46499,918,0,4985,3296,51538,1138,42466,128547,8021,2249,993,31054,491,2260,42173,137,0,0,0,0
"11/1/2021","162.23",367160,46395,940,0,5108,3294,52594,1159,43263,127895,8117,2304,992,30910,500,2261,41288,140,0,0,0,0
"10/1/2021","165.37",374030,47801,943,0,5166,3295,57616,1165,42484,128510,8064,2310,998,31044,504,2275,41733,122,0,0,0,0
"9/1/2021","170.34",384836,50826,935,0,5278,3307,62424,1184,42918,130332,8061,2304,988,31214,526,2295,42102,142,0,0,0,0
"8/1/2021","166.72",377038,47493,941,0,5228,3292,60904,1152,41807,130446,8068,2311,994,29473,529,2304,41956,140,0,0,0,0
"7/1/2021","179.19",404954,54775,941,0,5112,4167,51654,1192,43194,146798,9097,2327,988,31222,540,2263,50546,138,0,0,0,0
"6/1/2021","159.67",361685,47253,940,0,5209,3294,43371,1142,42304,130350,8716,2319,990,29279,536,2268,43573,141,0,0,0,0
"5/1/2021","165.26",373826,49002,941,0,5276,3291,49188,1182,38802,140023,8206,2341,996,29311,549,2266,42311,141,0,0,0,0
"4/1/2021","162.74",368173,46137,943,0,5214,3294,46136,1261,38552,141402,8154,2342,991,29635,558,2266,41147,141,0,0,0,0
"3/1/2021","172.11",388998,46627,941,0,5316,3302,66064,1263,37809,141177,9013,2352,993,29666,574,2269,41489,143,0,0,0,0
"2/1/2021","159.08",359545,45279,940,0,5404,3292,56630,1273,38523,122638,8198,2353,994,29627,580,2301,41374,139,0,0,0,0
"1/1/2021","166.22",375911,46658,939,0,5501,3294,60093,1290,39901,132395,8303,2354,991,29681,586,2315,41468,142,0,0,0,0
"31/12/2020","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30/12/2020","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29/12/2020","206.83",471595,57156,1519,0,9328,5146,71038,3092,76070,150050,8306,3636,1652,37883,613,2717,43241,148,0,0,0,0
"28/12/2020","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27/12/2020","180.10",406644,52116,948,0,5528,3297,64624,1301,41529,148515,8047,2437,999,31368,626,2311,42857,141,0,0,0,0
"26/12/2020","146.53",334564,49831,941,0,5614,3297,63625,1307,37364,83047,8603,2455,988,31476,628,2268,42979,141,0,0,0,0
"25/12/2020","131.31",301579,48815,944,0,5652,3308,69851,1303,38314,43912,8301,2442,993,31359,630,2333,43283,139,0,0,0,0
"24/12/2020","128.82",296228,45859,943,0,5662,3295,63010,1301,43152,43442,8152,2458,1002,31511,627,2349,43326,139,0,0,0,0
"23/12/2020","101.15",295637,22006,934,144984,3709,3294,16123,1238,44049,10179,8122,2463,994,24336,608,2360,10097,141,0,0,0,0
"22/12/2020","137.22",400855,44065,940,161663,4720,3294,33252,1275,40505,57134,8142,2416,999,26711,618,2339,12640,142,0,0,0,0
"21/12/2020","134.45",396303,48149,941,144049,5359,3291,42409,1248,45173,60564,8163,2454,1000,19689,623,2327,10723,141,0,0,0,0
"20/12/2020","147.66",433085,49937,937,167575,5499,3286,37167,1280,41631,70994,8225,2447,990,27268,621,2354,12735,139,0,0,0,0
"19/12/2020","143.24",419270,49775,942,167112,5586,3293,30591,1260,40864,72384,8195,2470,1000,19974,638,2381,12664,141,0,0,0,0
"18/12/2020","139.80",404627,24991,937,176202,5462,3288,22791,1309,39645,75899,8293,2490,1001,26007,641,2363,13168,140,0,0,0,0
"17/12/2020","81.70",250005,51177,941,60,5196,3285,26976,1322,42576,70250,8020,2458,906,21435,644,2376,12237,146,0,0,0,0
"16/12/2020","153.09",447058,55986,941,184307,5217,3289,37440,1242,31244,74625,8190,2443,1004,27213,640,2380,10751,146,0,0,0,0
"15/12/2020","150.49",440752,50068,933,187402,5204,3292,31534,1330,43029,71212,7608,2496,1008,20887,597,2372,11668,112,0,0,0,0
"14/12/2020","142.42",417316,48662,932,188682,5307,3294,25092,1272,43678,73052,8074,2498,1018,0,644,2341,12623,147,0,0,0,0
"13/12/2020","144.92",423901,58627,937,191206,5478,3289,0,1318,43710,63948,8132,2508,1016,27748,644,2344,12852,144,0,0,0,0
"12/12/2020","166.11",487916,61561,935,198643,5571,3295,48102,1279,42422,72859,8343,2505,1014,25574,652,2369,12659,133,0,0,0,0
"11/12/2020","165.43",486431,62799,937,191148,5652,3291,48807,1362,42719,74375,8258,2505,1015,27793,647,2385,12590,148,0,0,0,0
"10/12/2020","155.99",454909,66437,935,196488,5612,3268,48467,1356,0,78169,8104,2514,1015,27678,525,2184,12013,144,0,0,0,0
"9/12/2020","152.47",444915,63688,943,193430,5616,3294,46826,1313,0,74425,8263,2535,1018,27852,532,2357,12678,145,0,0,0,0
"8/12/2020","72.83",226795,77234,1495,19313,7335,2156,53641,3031,19128,17268,8229,1475,418,11597,528,2161,1634,152,0,0,0,0
"7/12/2020","146.32",430378,45875,943,154808,5543,3293,48701,1269,41201,73300,8087,2529,1017,27955,532,2396,12782,147,0,0,0,0
"6/12/2020","149.73",437562,39280,942,175897,5586,3287,42097,1313,40919,78735,8236,2531,1016,23390,537,2413,11237,146,0,0,0,0
"5/12/2020","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4/12/2020","157.60",462074,55235,935,189160,5686,3291,39331,1387,39764,71728,8364,2575,1021,27794,541,2443,12671,148,0,0,0,0
"3/12/2020","186.05",546413,87066,1500,208838,7331,2124,33930,3046,46628,89171,8298,1559,425,40581,543,2153,13065,155,0,0,0,0
"2/12/2020","167.46",490213,72397,890,191897,5428,3201,43755,1278,43233,80498,8074,2548,937,21252,535,2477,11668,145,0,0,0,0
"1/12/2020","164.50",481566,67149,928,195223,5407,3207,49714,1299,43645,66155,8110,2564,944,22777,541,2377,11380,146,0,0,0,0
"30/11/2020","165.07",481421,71633,935,195904,5500,3188,41182,1316,46485,71177,8130,2581,939,17962,545,2387,11410,147,0,0,0,0
"29/11/2020","171.16",501822,72689,933,194767,5673,3178,55496,1317,47229,71042,8157,2580,935,22867,554,2397,11861,147,0,0,0,0
"28/11/2020","172.24",504181,71466,933,197943,5858,3176,55414,1350,48823,71416,8215,2589,939,21417,562,2443,11490,147,0,0,0,0
"27/11/2020","172.04",504731,74491,942,194746,6005,3190,55687,1419,48647,71246,8181,2550,940,21116,566,2437,12421,147,0,0,0,0
"26/11/2020","170.31",501309,74435,937,189549,6139,3185,56160,1364,48352,71361,8028,2559,941,23221,566,2460,11907,145,0,0,0,0
"25/11/2020","167.39",490326,72453,942,183382,6207,3170,54947,1359,48834,72409,7983,2562,931,19801,574,2434,12195,143,0,0,0,0
"24/11/2020","172.25",503129,74056,933,196699,6219,3174,55463,1416,46725,72222,7415,2555,938,23273,572,2453,8879,135,1,1,0,0
"23/11/2020","174.08",487377,76665,928,198511,6150,3129,56457,1353,44599,66072,7704,2532,935,6823,571,2481,12323,141,1,0,1,1
"22/11/2020","1.86",5125,0,0,0,354,0,0,0,0,0,0,0,0,4771,0,0,0,0,0,0,0,0